title,subtitle,authors,narrators,series,length,release_date,language,rating,no_of_ratings,regular_price,sales_price,category,genres,url
Eclipsed Heart,"Twisted Fate Trilogy, Book 2",['Jen L. Grey'],['Lila Winters'],Twisted Fate Trilogy,Length: 9 hrs and 22 mins,Release date: 10-16-23,Language: English,5 out of 5 stars,15 ratings,$19.95,,,[],https://www.audible.com/pd/Eclipsed-Heart-Audiobook/B0CL55C1JK?qid=1702035873&sr=1-276&ref_pageloadid=pLX0xteHRWFEErfq&ref=a_search_c3_lProduct_6_26&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=AJDRYH0C4XJB97NK2000&pageLoadId=oTZP55QoBkj9Fbtj&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Romance Languages,"A Friends-to-Lovers, Virgin MM Romance (South Rock High, Book 3)",['A.J. Truman'],['Iggy Toma'],South Rock High,Length: 7 hrs and 53 mins,Release date: 10-10-23,Language: English,5 out of 5 stars,15 ratings,$17.49,,,[],https://www.audible.com/pd/Romance-Languages-Audiobook/B0CKRW9PQ1?qid=1702035873&sr=1-277&ref_pageloadid=pLX0xteHRWFEErfq&ref=a_search_c3_lProduct_6_27&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=AJDRYH0C4XJB97NK2000&pageLoadId=oTZP55QoBkj9Fbtj&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Along the River of Flesh,"Gone to See the River Man Series, Book 2",['Kristopher Triana'],['Chuck Brugee'],Gone to See the River Man,Length: 7 hrs and 25 mins,Release date: 10-13-23,Language: English,4.5 out of 5 stars,20 ratings,$19.95,,,[],https://www.audible.com/pd/Along-the-River-of-Flesh-Audiobook/B0CKY6KKMB?qid=1702035873&sr=1-278&ref_pageloadid=pLX0xteHRWFEErfq&ref=a_search_c3_lProduct_6_28&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=AJDRYH0C4XJB97NK2000&pageLoadId=oTZP55QoBkj9Fbtj&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Wolf in the Void,"A Dark Fantasy LitRPG Adventure (The Grand Game, Book 5)",['Tom Elliot'],['Andrew Tell'],Grand Game,Length: 19 hrs and 51 mins,Release date: 11-10-23,Language: English,4.5 out of 5 stars,63 ratings,$51.79,,,[],https://www.audible.com/pd/Wolf-in-the-Void-Audiobook/B0CN3YP6NG?qid=1702035873&sr=1-279&ref_pageloadid=pLX0xteHRWFEErfq&ref=a_search_c3_lProduct_6_29&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=AJDRYH0C4XJB97NK2000&pageLoadId=oTZP55QoBkj9Fbtj&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
"Hell Mode, Volume 2",,"['Hamuo', 'Taishi - translator']",['Diontae Black'],,Length: 9 hrs and 27 mins,Release date: 11-28-23,Language: English,5 out of 5 stars,21 ratings,$20.99,,,[],https://www.audible.com/pd/Hell-Mode-Volume-2-Audiobook/B0CNDVPD65?qid=1702035873&sr=1-280&ref_pageloadid=pLX0xteHRWFEErfq&ref=a_search_c3_lProduct_6_30&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=AJDRYH0C4XJB97NK2000&pageLoadId=oTZP55QoBkj9Fbtj&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Murder in a French Village,"A Flora Steele Mystery, Book 7",['Merryn Allingham'],['Charlie Norfolk'],A Flora Steele Mystery,Length: 7 hrs and 56 mins,Release date: 10-30-23,Language: English,4.5 out of 5 stars,19 ratings,$19.95,,,[],https://www.audible.com/pd/Murder-in-a-French-Village-Audiobook/B0CL7DBB7Z?qid=1702035873&sr=1-281&ref_pageloadid=pLX0xteHRWFEErfq&ref=a_search_c3_lProduct_6_31&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=AJDRYH0C4XJB97NK2000&pageLoadId=oTZP55QoBkj9Fbtj&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
House of Striking Oaths,"The Kingdom of Crows, Book 3",['Olivia Wildenstein'],['Olivia King'],Kingdom of Crows,Length: 15 hrs and 52 mins,Release date: 10-25-23,Language: English,4.5 out of 5 stars,57 ratings,$24.95,,,[],https://www.audible.com/pd/House-of-Striking-Oaths-Audiobook/B0CLQ1SSZJ?qid=1702035873&sr=1-282&ref_pageloadid=pLX0xteHRWFEErfq&ref=a_search_c3_lProduct_6_32&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=AJDRYH0C4XJB97NK2000&pageLoadId=oTZP55QoBkj9Fbtj&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
How to Lose a Guy Before Christmas,,['A.J. Pine'],"['Andi Arndt', 'Jason Clarke']",,Length: 5 hrs and 24 mins,Release date: 11-16-23,Language: English,4.5 out of 5 stars,973 ratings,$29.95,,,[],https://www.audible.com/pd/How-to-Lose-a-Guy-Before-Christmas-Audiobook/B0CMZ1QRHD?qid=1702035873&sr=1-283&ref_pageloadid=pLX0xteHRWFEErfq&ref=a_search_c3_lProduct_6_33&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=AJDRYH0C4XJB97NK2000&pageLoadId=oTZP55QoBkj9Fbtj&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
All About Love,New Visions,['bell hooks'],['January LaVoy'],Love Song to the Nation,Length: 6 hrs and 10 mins,Release date: 10-17-23,Language: English,4.5 out of 5 stars,29 ratings,$19.79,,,[],https://www.audible.com/pd/All-About-Love-Audiobook/B0CL1GKWC7?qid=1702035873&sr=1-284&ref_pageloadid=pLX0xteHRWFEErfq&ref=a_search_c3_lProduct_6_34&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=AJDRYH0C4XJB97NK2000&pageLoadId=oTZP55QoBkj9Fbtj&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Ragnar's Claw,"Space Wolves: Warhammer 40,000, Book 2",['William King'],['Phillip Sacramento'],"Space Wolves: Warhammer 40,000",Length: 10 hrs and 45 mins,Release date: 11-18-23,Language: English,5 out of 5 stars,13 ratings,$32.71,,,[],https://www.audible.com/pd/Ragnars-Claw-Audiobook/B0CLL64J7G?qid=1702035873&sr=1-285&ref_pageloadid=pLX0xteHRWFEErfq&ref=a_search_c3_lProduct_6_35&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=AJDRYH0C4XJB97NK2000&pageLoadId=oTZP55QoBkj9Fbtj&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
